Commodity	Contract_Type	Delivery_Month	Delivery_Year	Strike_Price	Business_Date	Match_Time	Price_Indicator	Price	Message_Code	Amend_Code	Volume
CWF	F	J	2024	0000000	20240222	232537	 	0000024550	Y	D	00020
CWF	P	J	2024	0024000	20240222	030400	 	0000345000	Y	D	00030
CWF	P	J	2024	0024000	20240222	030400	 	0000345000	Y	D	00030
CWF	F	K	2024	0000000	20240222	232537	 	0000024550	Y	D	00020
CWF	P	K	2024	0024000	20240222	030400	 	0000345000	Y	D	00030
CWF	P	K	2024	0024000	20240222	030400	 	0000345000	Y	D	00030
CWF	F	M	2024	0000000	20240222	232537	 	0000024550	Y	D	00020
CWF	P	M	2024	0024000	20240222	030400	 	0000345000	Y	D	00030
CWF	P	M	2024	0024000	20240222	030400	 	0000345000	Y	D	00030
CWF	F	N	2024	0000000	20240222	190800	 	0000027000	Y	D	00005
CWF	F	N	2024	0000000	20240222	190800	 	0000027000	Y	D	00005
CWF	F	Q	2024	0000000	20240222	190800	 	0000027000	Y	D	00005
CWF	F	Q	2024	0000000	20240222	190800	 	0000027000	Y	D	00005
CWF	F	U	2024	0000000	20240222	190800	 	0000027000	Y	D	00005
CWF	F	U	2024	0000000	20240222	190800	 	0000027000	Y	D	00005
FEF	F	G	2024	0000000	20240222	181056	 	0000012071	Y	D	09843
FEF	F	G	2024	0000000	20240222	181056	 	0000012071	Y	D	09843
PXF	F	K	2024	0000000	20240222	181400	 	0000104200	Y	D	00030
PXF	F	U	2024	0000000	20240222	181400	 	0000102500	Y	D	00030
